conflict_id	concept	entry	kind	anno_says	ydb_says	resolution	resolution_basis
CONF-001	commands	ABLOCK	existence	AB[LOCK] postcond [ SP ] SP ablockargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-002	commands	ASSIGN	existence	assignargument ::= assigndestination = object @ expratom V L assignargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-003	commands	ASTART	existence	ASTA[RT] postcond [ SP ] SP ablockargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-004	commands	ASTOP	existence	ASTO[P] postcond [ SP ] SP ablockargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-005	commands	AUNBLOCK	existence	AUNB[LOCK] postcond [ SP ] SP ablockargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-006	commands	ESTART	existence	ESTA[RT] postcond [ SP ] SP estartargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-007	commands	ESTOP	existence	Previous MDC examples Next	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-008	commands	ETRIGGER	existence	especref ::= expr V ^$W[INDOW] ( expec ) [ : einforef ] expr V ^$J[OB] ( erspec )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-009	commands	KSUBSCRIPTS	existence	a) glvn : Selective Kill.	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-010	commands	KVALUE	existence	a) glvn : Selective Kill.	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-011	commands	RLOAD	existence	routineargument ::= routineref : glvn [ : routineparameters ] @ expratom V L routineargument	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-012	commands	RSAVE	existence	Previous MDC examples Next	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-013	commands	THEN	existence	Previous MDC examples Next	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-014	commands	Z	existence	Previous 1977 1984 1990 1995 MDC Next	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-015	intrinsic-functions	$DEXTRACT	existence	$DE[XTRACT] ( [ initialrecordvalue ] , extracttemplate , L [ recordfieldvalue ] )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-016	intrinsic-functions	$DPIECE	existence	$DP[IECE] ( [ initialrecordvalue ] , piecedelimiter , L [ recordfieldvalue ] )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-017	intrinsic-functions	$HOROLOG	existence	$H[OROLOG] ( intexpr )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-018	intrinsic-functions	$MUMPS	existence	$M[UMPS] ( expr )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-019	intrinsic-functions	$TYPE	existence	$TY[PE] ( expratom )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-020	intrinsic-functions	$Z	existence	$Z[unspecified] ( unspecified )	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
CONF-021	intrinsic-special-variables	$ZUNSPECIFIED	existence	$Z[unspecified]	absent	kept (AnnoStd is normative for standard membership)	AD-01 (AnnoStd normative)
